Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Langdon Prairie Health,ND,Healthcare Provider,1152,4/18/2025,Unauthorized Access/Disclosure,Email
Highland Rivers Behavioral Health,GA,Healthcare Provider,2253,4/15/2025,Hacking/IT Incident,Network Server
Charleston Area Medical Center,WV,Healthcare Provider,67413,2/14/2025,Hacking/IT Incident,Email
Insurance ACE/Humana Inc.,KY,Health Plan,8553,2/6/2025,Unauthorized Access/Disclosure,Paper/Films
"Infosys Public Services, Inc. (â€œInfosysâ€)",MD,Business Associate,2985,1/31/2025,Unauthorized Access/Disclosure,Network Server
"Square Medical Group, LLC",MA,Healthcare Provider,2363,1/15/2025,Unauthorized Access/Disclosure,Email
Veterans Health Administration,DC,Healthcare Provider,1847,1/13/2025,Unauthorized Access/Disclosure,Paper/Films
Heritage Health Care,OH,Healthcare Provider,12162,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Washington Inc. (""Court House Manor"")",OH,Healthcare Provider,2489,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Warren Inc. (""Warren Manor"")",PA,Healthcare Provider,2709,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Wapakoneta Inc. (""Wapakoneta Manor"")",OH,Healthcare Provider,1862,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Van Wert Inc. (""Van Wert Manor"")",OH,Healthcare Provider,1604,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Sweden Valley Inc. (""Sweden Valley Manor"")",PA,Healthcare Provider,1768,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Shawnee Inc. (""Shawnee Manor"")",OH,Healthcare Provider,4395,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Roselawn Inc. (""Roselawn Manor"")",OH,Healthcare Provider,1208,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Piqua Inc. (""Piqua Manor"")",OH,Healthcare Provider,2969,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Perrysburg Inc. (""Manor at Perrysburg"")",OH,Healthcare Provider,2704,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Hempfield Inc. (""Hempfield Manor"")",PA,Healthcare Provider,4744,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Garbry Ridge (""Garbry Ridge"")",OH,Healthcare Provider,512,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Fox Run Inc. (""The Manor at Greendale"")",OH,Healthcare Provider,2333,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Fostoria Inc. (""St. Catherine's Manor of Fostoria"")",OH,Healthcare Provider,1253,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Findlay Inc. (""Fox Run Manor"")",OH,Healthcare Provider,3986,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Fairview Inc. (""Fairview Manor"")",PA,Healthcare Provider,2935,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Edinboro Inc. (""Edinboro Manor"")",PA,Healthcare Provider,2844,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Crestview Inc. (""Village at the Greene"")",OH,Healthcare Provider,1944,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Court House Inc. (""St. Catherine's Manor of Washington Court House"")",OH,Healthcare Provider,3012,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Corry Inc. (""Corry Manor"")",PA,Healthcare Provider,2620,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Celina Inc. (""Celina Manor"")",OH,Healthcare Provider,2321,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Briarwood Inc. (""Briarwood Village"")",OH,Healthcare Provider,2650,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bradford Inc. (""Bradford Manor"")",PA,Healthcare Provider,1565,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bowling Green, Inc. (""Bowling Green Manor"")",OH,Healthcare Provider,3500,1/9/2025,Hacking/IT Incident,Network Server
"LifeBridge Health, Inc",MD,Healthcare Provider,25895,1/8/2025,Hacking/IT Incident,Email
"TruBridge, Inc. ",AL,Business Associate,3855,1/4/2025,Hacking/IT Incident,Email
Sidney Health Center,MT,Healthcare Provider,1370,1/3/2025,Unauthorized Access/Disclosure,Email
"Center for Child Development, INC",DE,Healthcare Provider,540,1/2/2025,Unauthorized Access/Disclosure,Email
Judge Baker Childrenâ€™s Center dba The Baker Center for Children and Families,MA,Healthcare Provider,2715,12/27/2024,Hacking/IT Incident,Network Server
Lexington Diagnostic Center,KY,Healthcare Provider,29819,12/24/2024,Hacking/IT Incident,Network Server
"VisionPoint Eye Center, PLLC ",IL,Healthcare Provider,66926,12/15/2024,Hacking/IT Incident,Network Server
Brockton Neighborhood Health Center,MA,Healthcare Provider,97488,12/13/2024,Hacking/IT Incident,Network Server
Insured Recovery,TN,Healthcare Provider,850,12/11/2024,Hacking/IT Incident,Network Server
Veterans Health Administration,DC,Healthcare Provider,2302,12/3/2024,Hacking/IT Incident,Network Server
"FC Compassus, LLC",TN,Healthcare Provider,2703,12/2/2024,Hacking/IT Incident,Email
Ardon Health,OR,Healthcare Provider,10098,11/22/2024,Hacking/IT Incident,Email
"East Paris Internal Medicine Associates, PC",MI,Healthcare Provider,5239,11/22/2024,Unauthorized Access/Disclosure,Email
"Green Castle Recovery Center DBA, Sanford Behavioral Health",MI,Healthcare Provider,703,11/22/2024,Hacking/IT Incident,Email
"Enso Counseling Group, PLLC",NH,Healthcare Provider,943,11/20/2024,Unauthorized Access/Disclosure,Email
