name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
Langdon Prairie Health,ND,Healthcare Provider,1152.0,4/18/2025,Unauthorized Access/Disclosure,Email
Highland Rivers Behavioral Health,GA,Healthcare Provider,2253.0,4/15/2025,Hacking/IT Incident,Network Server
Charleston Area Medical Center,WV,Healthcare Provider,67413.0,2/14/2025,Hacking/IT Incident,Email
Insurance ACE/Humana Inc.,KY,Health Plan,8553.0,2/6/2025,Unauthorized Access/Disclosure,Paper/Films
"Infosys Public Services, Inc. (â€œInfosysâ€)",MD,Business Associate,2985.0,1/31/2025,Unauthorized Access/Disclosure,Network Server
"Square Medical Group, LLC",MA,Healthcare Provider,2363.0,1/15/2025,Unauthorized Access/Disclosure,Email
Veterans Health Administration,DC,Healthcare Provider,1847.0,1/13/2025,Unauthorized Access/Disclosure,Paper/Films
Heritage Health Care,OH,Healthcare Provider,12162.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Washington Inc. (""Court House Manor"")",OH,Healthcare Provider,2489.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Warren Inc. (""Warren Manor"")",PA,Healthcare Provider,2709.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Wapakoneta Inc. (""Wapakoneta Manor"")",OH,Healthcare Provider,1862.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Van Wert Inc. (""Van Wert Manor"")",OH,Healthcare Provider,1604.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Sweden Valley Inc. (""Sweden Valley Manor"")",PA,Healthcare Provider,1768.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Shawnee Inc. (""Shawnee Manor"")",OH,Healthcare Provider,4395.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Roselawn Inc. (""Roselawn Manor"")",OH,Healthcare Provider,1208.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Piqua Inc. (""Piqua Manor"")",OH,Healthcare Provider,2969.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Perrysburg Inc. (""Manor at Perrysburg"")",OH,Healthcare Provider,2704.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Hempfield Inc. (""Hempfield Manor"")",PA,Healthcare Provider,4744.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Garbry Ridge (""Garbry Ridge"")",OH,Healthcare Provider,512.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Fox Run Inc. (""The Manor at Greendale"")",OH,Healthcare Provider,2333.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Fostoria Inc. (""St. Catherine's Manor of Fostoria"")",OH,Healthcare Provider,1253.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Findlay Inc. (""Fox Run Manor"")",OH,Healthcare Provider,3986.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Fairview Inc. (""Fairview Manor"")",PA,Healthcare Provider,2935.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Edinboro Inc. (""Edinboro Manor"")",PA,Healthcare Provider,2844.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Crestview Inc. (""Village at the Greene"")",OH,Healthcare Provider,1944.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Court House Inc. (""St. Catherine's Manor of Washington Court House"")",OH,Healthcare Provider,3012.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Corry Inc. (""Corry Manor"")",PA,Healthcare Provider,2620.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Celina Inc. (""Celina Manor"")",OH,Healthcare Provider,2321.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Briarwood Inc. (""Briarwood Village"")",OH,Healthcare Provider,2650.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bradford Inc. (""Bradford Manor"")",PA,Healthcare Provider,1565.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bowling Green, Inc. (""Bowling Green Manor"")",OH,Healthcare Provider,3500.0,1/9/2025,Hacking/IT Incident,Network Server
"LifeBridge Health, Inc",MD,Healthcare Provider,25895.0,1/8/2025,Hacking/IT Incident,Email
"TruBridge, Inc. ",AL,Business Associate,3855.0,1/4/2025,Hacking/IT Incident,Email
Sidney Health Center,MT,Healthcare Provider,1370.0,1/3/2025,Unauthorized Access/Disclosure,Email
"Center for Child Development, INC",DE,Healthcare Provider,540.0,1/2/2025,Unauthorized Access/Disclosure,Email
Judge Baker Childrenâ€™s Center dba The Baker Center for Children and Families,MA,Healthcare Provider,2715.0,12/27/2024,Hacking/IT Incident,Network Server
Lexington Diagnostic Center,KY,Healthcare Provider,29819.0,12/24/2024,Hacking/IT Incident,Network Server
"VisionPoint Eye Center, PLLC ",IL,Healthcare Provider,66926.0,12/15/2024,Hacking/IT Incident,Network Server
Brockton Neighborhood Health Center,MA,Healthcare Provider,97488.0,12/13/2024,Hacking/IT Incident,Network Server
Insured Recovery,TN,Healthcare Provider,850.0,12/11/2024,Hacking/IT Incident,Network Server
Veterans Health Administration,DC,Healthcare Provider,2302.0,12/3/2024,Hacking/IT Incident,Network Server
"FC Compassus, LLC",TN,Healthcare Provider,2703.0,12/2/2024,Hacking/IT Incident,Email
Ardon Health,OR,Healthcare Provider,10098.0,11/22/2024,Hacking/IT Incident,Email
"East Paris Internal Medicine Associates, PC",MI,Healthcare Provider,5239.0,11/22/2024,Unauthorized Access/Disclosure,Email
"Green Castle Recovery Center DBA, Sanford Behavioral Health",MI,Healthcare Provider,703.0,11/22/2024,Hacking/IT Incident,Email
"Enso Counseling Group, PLLC",NH,Healthcare Provider,943.0,11/20/2024,Unauthorized Access/Disclosure,Email
"The Arbors Operator, LLC",IN,Healthcare Provider,2808.0,11/18/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Village Pharmacy Group,MA,Healthcare Provider,584.0,11/18/2024,Hacking/IT Incident,Email
Option Care Health,IL,Healthcare Provider,2897.0,11/15/2024,Hacking/IT Incident,Email
"Equinox, Inc. ",NY,Healthcare Provider,21565.0,11/15/2024,Hacking/IT Incident,Network Server
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,NC,Healthcare Provider,777.0,11/14/2024,Hacking/IT Incident,Email
Familylinks Inc.,PA,Healthcare Provider,3775.0,11/12/2024,Hacking/IT Incident,Email
Massachusetts Department of Developmental Services,MA,Healthcare Provider,3800.0,11/8/2024,Hacking/IT Incident,Email
Missouri Department of Mental Health,MO,Healthcare Provider,537.0,11/8/2024,Unauthorized Access/Disclosure,Email
"Orthopedics Rhode Island, Inc. ",CT,Healthcare Provider,377731.0,11/6/2024,Hacking/IT Incident,Network Server
Universal Health Corporation,VA,Healthcare Provider,583.0,11/6/2024,Hacking/IT Incident,Email
Embody Performance & Recovery,MO,Healthcare Provider,1100.0,11/4/2024,Unauthorized Access/Disclosure,Email
Regence BlueCross BlueShield,OR,Health Plan,610.0,10/29/2024,Unauthorized Access/Disclosure,Paper/Films
"Oregon Reproductive Medicine, LLC d/b/a ORM Fertility",NY,Healthcare Provider,2322.0,10/25/2024,Hacking/IT Incident,Network Server
Quest Diagnostics Incorporated,NJ,Healthcare Provider,1062.0,10/25/2024,Unauthorized Access/Disclosure,Network Server
"Southwest Colorado Mental Health Center, Inc. d/b/a Axis Health System",CO,Healthcare Provider,23385.0,10/25/2024,Hacking/IT Incident,Network Server
Stanislaus County Behavioral Health and Recovery Services,CA,Health Plan,767.0,10/24/2024,Unauthorized Access/Disclosure,Paper/Films
"Survival Flight, Inc.",AZ,Healthcare Provider,10989.0,10/18/2024,Hacking/IT Incident,Email
