facility_id,facility_name,address,city/town,state,zip_code,county/parish,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs,start_date,end_date
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0015CAN28DKT47C,True,2023-01-01,2023-12-31
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0015C0HAX4ESQ0D,True,2023-01-01,2023-12-31
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0015CW76TRC3SVN,True,2023-01-01,2023-12-31
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,0015C5LFV335W0K,True,2023-01-01,2023-12-31
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,0015C8CHE73ABS5,True,2023-01-01,2023-12-31
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0015CEN2HB2EXA1,True,2023-01-01,2023-12-31
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233,JEFFERSON,0015CN0ZLY04L17,True,2023-01-01,2023-12-31
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,,,2023-01-01,2023-12-31
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,0015CJ4T57TWR1R,True,2023-01-01,2023-12-31
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0015CEZ6FY4WR6V,True,2023-01-01,2023-12-31
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0015CG91R3XQ5T3,True,2023-01-01,2023-12-31
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,0015C1HRS47CWV4,True,2023-01-01,2023-12-31
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0015CA3TZV3LRM4,True,2023-01-01,2023-12-31
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,0015CFG3Q10HY2V,,2023-01-01,2023-12-31
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,0015CC4NC7PMU4W,True,2023-01-01,2023-12-31
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,0015CV1DWP8EW15,True,2023-01-01,2023-12-31
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0015CPE9ARQ008M,True,2023-01-01,2023-12-31
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,0015CRG0QJ69R7T,True,2023-01-01,2023-12-31
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,0015C47EGD92VSJ,True,2023-01-01,2023-12-31
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0015C4H2WUK0S3A,True,2023-01-01,2023-12-31
