<<<<<<< HEAD
facility_id,facility_name,address,state,zip_code,hospital_ownership,hospital_overall_rating,count_of_mort_measures_better,count_of_safety_measures_better,count_of_readm_measures_better
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,AL,36301,Government - Hospital District or Authority,3.0,1.0,2.0,1.0
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,AL,35957,Government - Hospital District or Authority,2.0,0.0,0.0,0.0
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,AL,35630,Proprietary,1.0,0.0,3.0,0.0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,AL,36467,Voluntary non-profit - Private,1.0,0.0,0.0,0.0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,AL,36049,Proprietary,0.0,0.0,0.0,0.0
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,AL,35235,Voluntary non-profit - Private,3.0,0.0,1.0,0.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,AL,35968,Proprietary,2.0,0.0,0.0,0.0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,AL,35007,Voluntary non-profit - Private,3.0,0.0,1.0,0.0
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD STE 305,AL,35233,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,AL,35660,Government - Hospital District or Authority,2.0,0.0,1.0,0.0
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,AL,36360,Government - Hospital District or Authority,2.0,0.0,0.0,0.0
10022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,AL,35960,Proprietary,0.0,0.0,0.0,0.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,AL,36116,Government - Hospital District or Authority,2.0,0.0,1.0,1.0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,AL,36106,Voluntary non-profit - Private,2.0,0.0,0.0,1.0
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,AL,36801,Government - Hospital District or Authority,2.0,0.0,0.0,1.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,AL,35233,Government - State,3.0,1.0,2.0,1.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,AL,36078,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,AL,35058,Government - Hospital District or Authority,3.0,0.0,1.0,0.0
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,AL,36420,Proprietary,3.0,0.0,0.0,0.0
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,AL,35801,Government - Hospital District or Authority,2.0,0.0,2.0,1.0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,AL,35903,Proprietary,2.0,0.0,1.0,0.0
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,AL,35570,Voluntary non-profit - Private,0.0,0.0,0.0,1.0
