facility_id,facility_name,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs
10001,SOUTHEAST HEALTH MEDICAL CENTER,0015CAN28DKT47C,Y
10005,MARSHALL MEDICAL CENTERS,0015C0HAX4ESQ0D,Y
10006,NORTH ALABAMA MEDICAL CENTER,0015CW76TRC3SVN,Y
10007,MIZELL MEMORIAL HOSPITAL,0015CFG3Q10HY2V,Y
10008,CRENSHAW COMMUNITY HOSPITAL,0015CFG3Q10HY2V,Y
10011,ST. VINCENT'S EAST,0015C5LFV335W0K,Y
10012,DEKALB REGIONAL MEDICAL CENTER,0015C8CHE73ABS5,Y
10016,SHELBY BAPTIST MEDICAL CENTER,0015CEN2HB2EXA1,Y
10018,CALLAHAN EYE HOSPITAL,0015CN0ZLY04L17,Y
10019,HELEN KELLER HOSPITAL,,No
10021,DALE MEDICAL CENTER,0015CFG3Q10HY2V,Y
10022,FLOYD CHEROKEE MEDICAL CENTER,0015CJ4T57TWR1R,Y
10023,BAPTIST MEDICAL CENTER SOUTH,0015CEZ6FY4WR6V,Y
10024,JACKSON HOSPITAL & CLINIC INC,0015CG91R3XQ5T3,Y
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,0015C1HRS47CWV4,Y
10033,UNIVERSITY OF ALABAMA HOSPITAL,0015CA3TZV3LRM4,Y
10034,COMMUNITY HOSPITAL INC,0015CFG3Q10HY2V,No
10035,CULLMAN REGIONAL MEDICAL CENTER,0015CFG3Q10HY2V,Y
10036,ANDALUSIA HEALTH,0015CC4NC7PMU4W,Y
10039,HUNTSVILLE HOSPITAL,0015CV1DWP8EW15,Y
10040,GADSDEN REGIONAL MEDICAL CENTER,0015CPE9ARQ008M,Y
10044,MARION REGIONAL MEDICAL CENTER,0015CRG0QJ69R7T,Y
10045,FAYETTE MEDICAL CENTER,0015C47EGD92VSJ,Y
10046,RIVERVIEW REGIONAL MEDICAL CENTER,0015C4H2WUK0S3A,Y
10049,MEDICAL CENTER ENTERPRISE,0015CR8535UDY24,Y
10051,GREENE COUNTY HOSPITAL,0015CFG3Q10HY2V,No
10052,LAKE MARTIN COMMUNITY HOSPITAL,0015C7URE9RTG1U,Y
10055,FLOWERS HOSPITAL,0015CPE9ARQ008M,Y
10056,ST VINCENT'S BIRMINGHAM,0015C5LFV335WOK,Y
10058,BIBB MEDICAL CENTER,0015CT0PPT32RH0,Y
10059,LAWRENCE MEDICAL CENTER,0015CD30BJE5K3L,Y
10061,HIGHLANDS MEDICAL CENTER,0015CWC4SAB73GB,Y
10062,WIREGRASS MEDICAL CENTER,0015CB33X8EL5AZ,No
10065,RUSSELL MEDICAL CENTER,0015C0JMU86CL6B,Y
10073,CLAY COUNTY HOSPITAL,0015CFG3Q10HY2V,Y
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,0015C351NUV0GV3,Y
10079,ATHENS LIMESTONE HOSPITAL,0015C0HAX4ESQ0D,Y
10083,BALDWIN HEALTH,0015CR8535UDY24,Y
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,0015C9GP30G6V88,Y
10086,NORTHWEST MEDICAL CENTER,0015CU43RP0JE55,Y
10087,USA HEALTH UNIVERSITY HOSPITAL,0015C5LFV335W0K,Y
10089,WALKER BAPTIST MEDICAL CENTER,0015CEN2HB2EXA1,Y
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",0015C5LFV335WOK,Y
10091,GROVE HILL MEMORIAL HOSPITAL,0015CFG3Q10HY2V,Y
10092,DCH REGIONAL MEDICAL CENTER,0015C47EGD92VSJ,Y
10095,HALE COUNTY HOSPITAL,0015CT0PPT32RH0,No
10097,ELMORE COMMUNITY HOSPITAL,0015C7URE9RTG1U,Y
10099,D W MCMILLAN MEMORIAL HOSPITAL,0015CQ314ZJA5HG,Y
10100,THOMAS HOSPITAL,0015C97XDZ8XB5U,Y
10101,CITIZENS BAPTIST MEDICAL CENTER,0015CEN2HB2EXA1,Y
10102,J PAUL JONES HOSPITAL,0015CT0PPT32RH0,No
10103,PRINCETON BAPTIST MEDICAL CENTER,0015CEN2HB2EXA1,Y
10104,GRANDVIEW MEDICAL CENTER,0015CPE9ARQ008M,Y
10108,PRATTVILLE BAPTIST HOSPITAL,0015CEZ6FY4WR6V,Y
10110,BULLOCK COUNTY HOSPITAL,,No
10112,WHITFIELD REGIONAL HOSPITAL,,No
10113,MOBILE INFIRMARY MEDICAL CENTER,0015C97XDZ8XB5U,Y
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",0015CBS1QV2E51Z,Y
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,0015C4XYB82NW5B,Y
10120,MONROE COUNTY HOSPITAL,0015CFG3Q10HY2V,No
